Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Type,Ontology
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980,OtherTechnologyPlatformVersion,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor",,,,True,DataProperty,,Sage Bionetworks,,Assay,,
referenceTranscriptID,The ID for the transcript/gene. Either the NCBI ID or the Ensembl ID must be provided,,,,True,DataProperty,,Sage Bionetworks,,Assay,,
dnaBatchID,DNA isolation batch,"Other,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Assay,,
dnaBatchSize,The number of samples,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherDnaBatchSizeUnit",,,True,DataProperty,,Sage Bionetworks,,Assay,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,DataProperty,,Sage Bionetworks,,Assay,,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,OtherLibraryPrep,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,OtherLibraryPreparationMethod,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherLibraryVersion,Unknown,Not collected,Not applicable,Not Specified",,,True,DataProperty,,Sage Bionetworks,,Assay,,
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,True,DataProperty,,Sage Bionetworks,,Assay,,
sequencingBatchSize,The number of samples,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherSequencingBatchSizeUnit",,,True,DataProperty,,Sage Bionetworks,,Assay,,
isStranded,Whether or not the library is stranded.,"TRUE,FALSE",,,True,DataProperty,,Sage Bionetworks,,Assay,str,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"forward,reverse",,,True,DataProperty,,Sage Bionetworks,,Assay,,
readLength,The length of the read,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherReadLengthUnits",,,True,DataProperty,,Sage Bionetworks,,Assay,,
runType,The type of run,"singleEnd,pairedEnd",,,True,DataProperty,,Sage Bionetworks,,Assay,,
totalReads,Total number of sequencing reads from a library.,,,,True,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
directionalBSseqLibrary,Indicates whether or not the bisulfiteSeq library is directional,"TRUE,FALSE,Unknown,Not collected,Not applicable",,,True,DataProperty,,Sage Bionetworks,,Assay,,
rnaBatchID,"RNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary.csv file uploaded to Synapse",,,,True,DataProperty,,Sage Bionetworks,,Assay,,
rnaBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,regex search ([0-9]+\.[0-9]*.)|([0-9]+),Assay,,
rnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherRnaBatchSizeUnit",,,True,DataProperty,,Sage Bionetworks,,Assay,,
reagentID(s),"One or more identifiers, separated by a semicolon (;). The reagent identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentName,The reagent name is an alternative to the Reagent ID,,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentCatalogNumber,"If the assay reagent is a commercial product, enter the vendor's catalog identifier. If the reagent is a custom preparation enter 'NA'. ",,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentLotNumber,The lot number is often provided by a reagent source when the reagent is replenished over time. ,,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentWeblink,An internet address that may provide details of an assay reagent.,,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
reagentContact,The contact information is particularly helpful when the reagent is not from a commercial vendor.,,,,False,DataProperty,,"ImmPort,Sage Bionetworks",,Assay,,
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
batchLabel,Used to supply batch label information with any string value,,,,False,DataProperty,,http://purl.obolibrary.org/obo/MS_4000088,,Assay,,
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,http://purl.obolibrary.org/obo/MS_1000053,,Assay,,
sampleBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,,Assay,,
sampleBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,OtherSampleBatchSizeUnit",,,False,DataProperty,,Sage Bionetworks,,Assay,,
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,DataProperty,,Sage Bionetworks,,Assay,,
acquisitionBatchSize,The number of samples,,,,False,DataProperty,,Sage Bionetworks,,Assay,,
