Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
specimenAge,"The subject's age at the time of specimen extraction is the individual's age (since birth) at the time a given specimen was extracted. Measured as age in years. Other, Unknown, Not collected, Not applicable",True,STRING,,,ManifestColumn,
specimenSource,Indicate the biological area of the specimen,True,STRING,,,ManifestColumn,
specimenType,Type of biological material comprising the Specimen,True,STRING,,,ManifestColumn,"blood,Cerebrospinal Fluid (CSF),Not applicable,Not collected,Not specified,organoid,plasma,saliva,serum,sputum,stool,swabs,tissue,Unknown,urine"
tissueVolume,The volume of the tissue sample. Measured in microliters.,True,STRING,,,ManifestColumn,
Component,,False,,,,,
Filename,,False,,,,,
cellType,Indicate the cell type.,True,STRING,,sage.annotations-experimentalData.cellType-0.0.9,ManifestColumn,"A549, arachnoid, astrocytes, B-lymphocytes, CD138+, CD8+ T-Cells, CNON, dopaminergic neurons, Embryonic stem cells, epithelial, epithelial-like, fibroblast, GABAergic neurons, glia, GLUtamatergic neurons, immune cell, iPSC, iPSC-derived astrocytes, iPSC-derived glia, iPSC-derived neuron, iPSC-derived neuronal progenitor cell, iPSC-derived telencephalic organoids, lymphoblast, lymphoblastoid cell line, macrophages, meningioma, microglia, monocytes, monocyte-derived microglia, NCX NES, NeuN-, NeuN+, neural progenitor cell, neuron, oligodendrocyte, peripheral blood mononuclear cell, polygonal, round, schwann, Schwann cell precusor, schwannoma, SH-SY5Y, Not collected, Not specified, Not applicable, Other, Unknown"
fastingState,Was individual fasting when the sample was taken (true/false)?,True,STRING,,sage.annotations-experimentalData.fastingState-0.0.2,ManifestColumn,"FALSE,Not applicable,Not collected,Not specified,TRUE,Unknown"
isPostMortem,Was the sample taken after death (true/false)?,True,STRING,,sage.annotations-experimentalData.isPostMortem-0.0.2,ManifestColumn,"TRUE, FALSE"
nucleicAcidSource,"Specifies the type of nucleic acid (DNA, RNA, Pooled, etc.) found in a sample.",True,STRING,,sage.annotations-ngs.nucleicAcidSource-0.0.3,ManifestColumn,"bulk cell,bulk nuclei,mitochondria,Not applicable,Not collected,Not specified,single cell,single nucleus,sorted cells,sorted nuclei,Unknown"
organ,Indicate the organ the specimen is from,True,STRING,,sage.annotations-experimentalData.organ-0.0.4,ManifestColumn,"blood, bone marrow, brain, breast, Bursa Of Fabricius, cerebrospinal fluid, colon, kidney, large intestine, liver, lung, lymph node, mammary gland, nerves, nose, ovary, pancreas, prostate, skin, spleen, Not collected, Not specified, Not applicable, Other, Unknown"
samplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor.Other,Unknown, Not collected, Not applicable",True,STRING,,sage.annotations-experimentalData.samplingAge-0.0.2,ManifestColumn,
specimenID,"Identifying string linked to a particular sample or specimen, provide by the data contributor",True,STRING,,sage.annotations-experimentalData.specimenID-0.0.2,ManifestColumn,
