Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",True,STRING,,Sage Bionetworks,ManifestColumn,"FASTQ, FASTA, SAM, BAM, CRAM, VCF, BCF, GTF, GFF, GFF3, BED, BigBed, WIG, BigWig, CSV, TSV, MTX, H5AD, LOOM, RDS,PED, MAP, BED_PLINK, TPED, TFAM, BEDGRAPH, NARROWPEAK, BROADPEAK, TAGALIGN, OME-TIFF, ND2, CZI, LSM, H5, HDF5, PARQUET, PDB, MMCIF, JSON, YAML, XML, TXT, XLSX, CSV, Not assigned"
gasFlowTemperature,"e.g., nebulization gas, cone gas, etc.Unit of measure-C, F, K, Not specified",False,NUMBER,,,ManifestColumn,
gasFlowTemperatureUnit,Unit of gas flow temperature,False,STRING,,,ManifestColumn,"C,F,K"
hasAssayControl,"Boolean flag indicating whether or not a specimen is a technical or assay control. Examples include study pools or reference pools, blanks, or internal standards.",False,BOOLEAN,,,ManifestColumn,
hasIonizationSource,Were the ionization conditions recorded to enable reproduction of the experiment?,False,BOOLEAN,,,ManifestColumn,"No,Yes"
instrumentModel,"The model of the instrument used. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
ionProperty,Ion charge state (positive or negative-ion analysis),False,STRING,,,ManifestColumn,"Negative,Positive"
lensVoltages,"The skimmer/focusing lens voltages e.g., capillary voltage, etc.",False,NUMBER,,,ManifestColumn,
lensVoltagesUnit,Unit of lens voltages,False,STRING,,,ManifestColumn,
measurementTechnique,"The name of the measurement technique describing the assay method. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,"Bisulfite sequencing,Clinical data,Genome-wide association study,High-performance liquid chromatography tandem mass spectrometry,Liquid chromatography mass spectrometry,Liquid chromatography tandem mass spectrometry,Mass spectrometry,Metabolomics,MetaX-processed metabolomics data,Proximity extension assay,RNA sequencing,Single-cell RNA sequencing,Shotgun metagenomic sequencing,Single nucleotide polymorphism array,Tandem Mass Tag proteomics,Whole-genome sequencing,Unknown,Other,Not collected,Not applicable,Not specified"
msAnalyteType,"The type of biospecimen subjected to analysis (ex., peptide, protein, metabolite, lipid)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
msAssayTechnique,"Specified the mass spectrometer technique used or the name of the proteomics assay used (ex. DDA)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
msTarget,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,True,STRING,,,ManifestColumn,"Not applicable,Not available,Not collected,Not specified,Targeted,Unknown,Untargeted"
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
resourceType,The type of resource being stored and annotated,True,STRING,,Sage Bionetworks,ManifestColumn,"experimentalData,metadata,tool,analysis,computationalNotebook,softwareTool,Not assigned"
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
samplePrepProtocol,"An internet address that may provide more details of the protocol information (web link). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,STRING,,,ManifestColumn,"Amphibian,Bird,Fish,Invertebrate,Mammal,Not applicable,Not collected,Not specified,Reptile,Unknown"
speciesName,"The scientific name of the species (typically a taxonomic group, ex. ""Eremophila alpestris) the individual belongs to.""""""",True,STRING,,,ManifestColumn,"Abramis brama, Acanthisitta chloris, Accipiter cooperii, Accipiter gentilis, Accipiter nisus, Acipenser naccarii, Acipenser ruthenus, Acomys cahirinus, Acomys russatus, Acridotheres tristis, Actitis macularius, Aegithalos caudatus, Aix sponsa, Alca torda, Alligator mississippiensis, Alopochen aegyptiaca, Alosa sapidissima, Amblyraja radiata, Ammodramus caudacutus, Ammodytes marinus, Ammospiza nelsoni, Anabas testudineus, Anableps anableps, Anas acuta, Anas carolinensis, Anas crecca, Anas platyrhynchos, Anguilla anguilla, Anser albifrons, Anser anser, Anser brachyrhynchus, Anser erythropus, Anser fabalis, Antennarius maculatus, Antigone canadensis, Aplidium turbinatum, Aplochiton taeniatus, Apodemus sylvaticus, Apus apus, Aquila chrysaetos, Ara ararauna, Archilochus colubris, Archocentrus centrarchus, Argentina silus, Artibeus intermedius, Artibeus jamaicensis, Artibeus lituratus, Arvicanthis niloticus, Arvicola amphibius, Ascaphus truei, Ascidia mentula, Ascidiella aspersa, Astatotilapia calliptera, Asterias rubens, Athene noctua, Aythya ferina, Aythya fuligula, Aythya marila, Baeolophus bicolor, Balaena mysticetus, Balaenoptera acutorostrata, Balaenoptera borealis, Balaenoptera musculus, Balaenoptera physalus, Balearica regulorum, Barbatula barbatula, Barbus barbus, Bathysaurus mollis, Benthalbella elongata, Blarina brevicauda, Blennius ocellaris, Bombina bombina, Bombina variegata, Bombycilla cedrorum, Bonasa umbellus, Borostomias antarcticus, Bos taurus, Branchiostoma lanceolatum, Branta canadensis, Branta leucopsis, Bubo virginianus, Bucephala clangula, Bucorvus abyssinicus, Bufo bufo, Buglossidium luteum, Buteo buteo, Buteo jamaicensis, Buteo lineatus, Callithrix jacchus, Calonectris borealis, Calypte anna, Canis latrans, Canis lupus, Caprimulgus europaeus, Carassius carassius, Carcharodon carcharias, Cardinalis cardinalis, Caretta caretta, Cariama cristata, Carollia sowelli, Castor canadensis, Catharus ustulatus, Cavia porcellus, Cepola macrophthalma, Cervus elaphus, Cetorhinus maximus, Chanos chanos, Charadrius vociferus, Chelidonichthys cuculus, Chelidonichthys lucerna, Chelmon rostratus, Chelon labrosus, Chelonia mydas, Chinchilla lanigera, Chionoecetes opilio, Chionomys nivalis, Chiroxiphia lanceolata, Choloepus didactylus, Chroicocephalus ridibundus, Ciconia maguari, Ciliata mustela, Cinclus cinclus, Clangula hyemalis, Clavelina lepadiformis, Colius striatus, Coloeus monedula, Columba livia, Columba palumbus, Condylura cristata, Conger conger, Copsychus sechellarum, Coregonus lavaretus, Corella eumyota, Corvus brachyrhynchos, Corvus hawaiiensis, Corvus moneduloides, Cottoperca gobio, Cricetomys ansorgei, Cricetulus barabensis, Cricetulus griseus, Cryptomys damarensis, Cuculus canorus, Cuniculus paca, Cyanistes caeruleus, Cyanocitta cristata, Cyclopterus lumpus, Cygnus columbianus, Cygnus cygnus, Cygnus olor, Cynocephalus volans, Danio rerio, Dasypus novemcinctus, Delphinus delphis, Dendrocygna viduata, Dendropsophus ebraccatus, Denticeps clupeoides, Dermanura phaeotis, Dermochelys coriacea, Diceros bicornis, Diplecogaster bimaculata, Discoglossus pictus, Dromiciops gliroides, Dryobates pubescens, Dumetella carolinensis, Echeneis naucrates, Echiichthys vipera, Electrona antarctica, Electrona carlsbergi, Electrona subaspera, Electrophorus electricus, Elephas maximus, Ellobius lutescens, Ellobius talpinus, Emys orbicularis, Eonycteris spelaea, Eptesicus chiriquinus, Eptesicus furinalis, Eptesicus fuscus, Eptesicus nilssonii, Equus caballus, Eremophila alpestris, Erethizon dorsatum, Eretmochelys imbricata, Erinaceus europaeus, Erithacus rubecula, Erpetoichthys calabaricus, Erythrolamprus reginae, Eschrichtius robustus, Esox lucius, Eubalaena glacialis, Euleptes europaea, Eutrigla gurnardus, Falco biarmicus, Falco cherrug, Falco naumanni, Falco peregrinus, Falco punctatus, Falco rusticolus, Falco tinnunculus, Ficedula hypoleuca, Fringilla coelebs, Fukomys damarensis, Fulica atra, Fundulus diaphanus, Gadus morhua, Gaidropsarus vulgaris, Gallinula chloropus, Gallus gallus, Gardnerycteris keenani, Gasterosteus aculeatus, Gastrophryne carolinensis, Gavia stellata, Geothlypis trichas, Geotrypetes seraphini, Globicephala melas, Glossophaga mutica, Gobio gobio, Gobius niger, Gopherus evgoodei, Gopherus flavomarginatus, Gouania willdenowi, Grampus griseus, Grus americana, Grus grus, Gulosus aristotelis, Gymnoscopelus braueri, Gymnoscopelus microlampas, Gypaetus barbatus, Haematopus ostralegus, Haemorhous mexicanus, Haliaeetus albicilla, Halichoerus grypus, Harpagifer antarcticus, Harpia harpyja, Hemiprocne comata, Hemiscyllium ocellatum, Heterocephalus glaber, Heterohyrax brucei, Hippoglossus hippoglossus, Hipposideros larvatus, Hirundo rustica, Homo sapiens, Hoplias malabaricus, Hydrochoerus hydrochaeris, Hydroprogne caspia, Hylocichla mustelina, Hypanus sabinus, Hyperolius riggenbachi, Hyperoodon ampullatus, Hyperoplus immaculatus, Hypomesus transpacificus, Ia io, Icteria virens, Jaculus jaculus, Labrus bergylta, Labrus mixtus, Lacerta agilis, Lagenorhynchus acutus, Lagenorhynchus albirostris, Lampanyctus macdonaldi, Lampetra fluviatilis, Larus argentatus, Larus canus, Larus delawarensis, Larus fuscus, Larus glaucescens, Larus marinus, Larus michahellis, Larus occidentalis, Lathamus discolor, Lemur catta, Lepidochelys kempii, Leptodactylus fuscus, Leuciscus leuciscus, Liasis olivaceus, Limanda limanda, Lipophrys pholis, Lissotriton helveticus, Lissotriton vulgaris, Lophostoma evotis, Lutra lutra, Lynx canadensis, Macaca fascicularis, Macaca mulatta, Macropus eugenii, Malaclemys terrapin, Malacosteus niger, Manis pentadactyla, Mareca strepera, Marmota monax, Martes martes, Mastacembelus armatus, Megalops cyprinoides, Melanerpes carolinus, Melanostigma gelatinosum, Melanotaenia boesemani, Meleagris gallopavo, Meles meles, Melopsittacus undulatus, Melospiza georgiana, Melospiza melodia, Mergellus albellus, Mergus serrator, Meriones unguiculatus, Merops nubicus, Mesocricetus auratus, Mesoplodon bidens, Mesoplodon densirostris, Mesoplodon mirus, Microcaecilia unicolor, Microchirus variegatus, Micromesistius poutassou, Micromys minutus, Micronycteris microtis, Microstomus kitt, Microtus pennsylvanicus, Milvus milvus, Mimus polyglottos, Miniopterus schreibersii, Molossus alvarezi, Molossus molossus, Molossus nigricans, Molothrus ater, Monodelphis domestica, Multi-species, Muntiacus reevesi, Mus musculus, Muscardinus avellanarius, Mustela erminea, Mustela nivalis, Mustelus asterias, Myocastor coypus, Myodes glareolus, Myotis daubentonii, Myotis emarginatus, Myotis lucifugus, Myotis myotis, Myotis mystacinus, Myotis nattereri, Myotis nesopolus, Myotis pilosatibialis, Myotis tricolor, Myripristis murdjan, Myxine glutinosa, Nannobrachium achirus, Nannospalax galili, Nansenia antarctica, Natrix helvetica, Neoarius graeffei, Neofelis nebulosa, Neosciurus carolinensis, Neotoma cinerea, Neotoma floridana, Neovison vison, Nesoenas mayeri, Netta rufina, Nomonyx dominicus, Not applicable, Not collected, Not provided, Not specified, Notolabrus celidotus, Notolepis coatsi, Notothenia rossii, Numenius arquata, Nyctalus leisleri, Nyctibius grandis, Nycticebus coucang, Octodon degus, Odocoileus virginianus, Ondatra zibethicus, Ornithorhynchus anatinus, Oryctolagus cuniculus, Osmerus eperlanus, Osmerus mordax, Other, Otis tarda, Pagrus pagrus, Pan troglodytes, Pangasianodon hypophthalmus, Papio anubis, Parambassis ranga, Passer domesticus, Passerculus sandwichensis, Passerina caerulea, Passerina cyanea, Pelecanus crispus, Pelophylax lessonae, Periophthalmus magnuspinnatus, Peromyscus gossypinus, Peromyscus leucopus, Peromyscus maniculatus, Petromyzon marinus, Phaethon aethereus, Phalacrocorax auritus, Phalacrocorax carbo, Phasianus colchicus, Phocoena phocoena, Phocoena sinus, Phoenicopterus ruber, Pholidichthys leucotaenia, Pholis gunnellus, Phoxinus phoxinus, Phyllostomus discolor, Picoides villosus, Pipilo erythrophthalmus, Pipistrellus kuhlii, Pipistrellus nathusii, Pipistrellus pipistrellus, Pipistrellus pygmaeus, Platalea leucorodia, Platichthys flesus, Platyrrhinus helleri, Plecotus auritus, Pleuronectes platessa, Pluvialis apricaria, Podarcis bocagei, Podarcis cretensis, Podarcis filfolensis, Podarcis gaigeae, Podarcis liolepis, Podarcis melisellensis, Podarcis muralis, Podarcis pityusensis, Podarcis raffonei, Podarcis siculus, Podarcis tiliguerta, Podarcis vaucheri, Podargus strigoides, Poecile carolinensis, Pogoniulus pusillus, Pollachius pollachius, Porphyrio hochstetteri, Potamotrygon marinae, Pristis pectinata, Pseudophryne corroboree, Pseudorca crassidens, Pterocles gutturalis, Pygocentrus nattereri, Quiscalus quiscula, Rana temporaria, Rattus norvegicus, Rattus rattus, Regulus calendula, Rhea pennata, Rhinatrema bivittatum, Rhineura floridana, Rhinolophus ferrumequinum, Rhynochetos jubatus, Rissa tridactyla, Rousettus aegyptiacus, Saimiri boliviensis, Salarias fasciatus, Salmo trutta, Sayornis phoebe, Scalopus aquaticus, Scardinius erythrophthalmus, Scatophagus argus, Sciurus carolinensis, Sciurus niger, Sciurus vulgaris, Scleropages formosus, Scolopax minor, Scomber japonicus, Scyliorhinus canicula, Sebastes umbrosus, Setophaga citrina, Setophaga coronata, Setophaga dominica, Setophaga petechia, Setophaga pinus, Sialia sialis, Sigmodon hispidus, Sitta carolinensis, Sorex araneus, Sparus aurata, Spatula clypeata, Spea bombifrons, Sphaeramia orbicularis, Spheniscus humboldti, Spinus tristis, Spirinchus thaleichthys, Spizella passerina, Spizella pusilla, Spizelloides arborea, Sterna hirundo, Streptopelia turtur, Strigops habroptilus, Strix aluco, Struthio camelus, Sturnus vulgaris, Suncus etruscus, Sus scrofa, Sylvia atricapilla, Sylvia borin, Sylvilagus floridanus, Syngnathus acus, Tachycineta bicolor, Tachyglossus aculeatus, Taeniopygia guttata, Takifugu rubripes, Tamandua tetradactyla, Tamias striatus, Tamiasciurus hudsonicus, Tauraco erythrolophus, Taurulus bubalis, Tautogolabrus adspersus, Thalassophryne amazonica, Thamnophis elegans, Theristicus caerulescens, Thryothorus ludovicianus, Thunnus albacares, Thunnus maccoyii, Toxostoma rufum, Toxotes jaculatrix, Trachurus trachurus, Trichosurus vulpecula, Troglodytes aedon, Trogon surrucura, Turdus migratorius, Tursiops truncatus, Unknown, Vespertilio murinus, Vicugna pacos, Vidua chalybeata, Vipera latastei, Vireo griseus, Vireo olivaceus, Xenentodon cancila, Zalophus californianus, Zenaida macroura, Zeus faber, Zonotrichia albicollis"
specimenType,Type of biological material sample taken from a biological entity for research purposes,True,STRING_LIST,,,ManifestColumn,"blood, brain, buffy coat, cell line, cells, nervous system, organoid, plasma, saliva, serum, skin, stool, tissue, urine, Not applicable, Not collected, Not specified, Other, Unknown"
