Attribute,Description,Valid Values,Required,Module,multivalue,columnType,Ontology,Notes,Unnamed: 9,Properties,UsedIn,DependsOn,Parent
isStranded,Whether or not the library is stranded.,false False FALSE true True TRUE,True,WGS,False,BOOLEAN,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA",True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq",True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
libraryVersion,"Library Version: for example, rnaSeq 10x library version.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
measurementTechnique,"The name of the measurement technique describing the assay method.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,True,STRING,Sage Bionetworks,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,ManifestColumn,Whole_Genome_Sequencing,,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor.Provide a value OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,True,WGS,True,STRING,"Sage Bionetworks, DSLWG","A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified",,ManifestColumn,Whole_Genome_Sequencing,,
readLength,The length of the read,,True,WGS,False,NUMBER,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bp g/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",True,"WGS, readLength",False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,forward reverse,True,WGS,False,STRING,Sage Bionetworks,,,ManifestColumn,Whole_Genome_Sequencing,,
