Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,Module,Ontology,UsedIn,columnType,Notes,multivalue
Amniotic Fluid,,,,,False,ValidValue,,,,SampleType,,,,,
Appendix,,,,,False,ValidValue,,,,SampleType,,,,,
B cell,,,,,False,ValidValue,,,,SampleType,,,,,
Basophils,,,,,False,ValidValue,,,,SampleType,,,,,
Bone,,,,,False,ValidValue,,,,SampleType,,,,,
Bone Marrow,,,,,False,ValidValue,,,,SampleType,,,,,
Brachial lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Breast Milk,,,,,False,ValidValue,,,,SampleType,,,,,
Bronchoalveolar Lavage Fluid,,,,,False,ValidValue,,,,SampleType,,,,,
Carbohydrate,,,,,False,ValidValue,,,,SampleType,,,,,
Cell culture supernatant,,,,,False,ValidValue,,,,SampleType,,,,,
Cerebrospinal Fluid,,,,,False,ValidValue,,,,SampleType,,,,,
Cervical lymph nodes,,,,,False,ValidValue,,,,SampleType,,,,,
Colon,,,,,False,ValidValue,,,,SampleType,,,,,
Colonic Lamina Propria,,,,,False,ValidValue,,,,SampleType,,,,,
Convalescent Plasma,,,,,False,ValidValue,,,,SampleType,,,,,
Cord blood,,,,,False,ValidValue,,,,SampleType,,,,,
DNA,,,,,False,ValidValue,,,,SampleType,,,,,
Dendritic cell,,,,,False,ValidValue,,,,SampleType,,,,,
Dermis,,,,,False,ValidValue,,,,SampleType,,,,,
Dried Blood Spot,,,,,False,ValidValue,,,,SampleType,,,,,
Endotracheal aspirate,,,,,False,ValidValue,,,,SampleType,,,,,
Epithelium,,,,,False,ValidValue,,,,SampleType,,,,,
Feces,,,,,False,ValidValue,,,,SampleType,,,,,
Fibroblast,,,,,False,ValidValue,,,,SampleType,,,,,
Gastric lamina propria,,,,,False,ValidValue,,,,SampleType,,,,,
Ileum,,,,,False,ValidValue,,,,SampleType,,,,,
Inguinal lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Jejunum,,,,,False,ValidValue,,,,SampleType,,,,,
Kidney,,,,,False,ValidValue,,,,SampleType,,,,,
Leukocytes,,,,,False,ValidValue,,,,SampleType,,,,,
Lipid,,,,,False,ValidValue,,,,SampleType,,,,,
Liver,,,,,False,ValidValue,,,,SampleType,,,,,
Lung,,,,,False,ValidValue,,,,SampleType,,,,,
Lung lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Lymphocyte,,,,,False,ValidValue,,,,SampleType,,,,,
Macrophage,,,,,False,ValidValue,,,,SampleType,,,,,
Mesenteric lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Monocyte,,,,,False,ValidValue,,,,SampleType,,,,,
Mouse Ear,,,,,False,ValidValue,,,,SampleType,,,,,
NK cell,,,,,False,ValidValue,,,,SampleType,,,,,
Nasal Swab,,,,,False,ValidValue,,,,SampleType,,,,,
Nasal Swab or Nose Specimen,,,,,False,ValidValue,,,,SampleType,,,,,
Nasal lavage fluid,,,,,False,ValidValue,,,,SampleType,,,,,
Nasopharyngeal Swab Specimen,,,,,False,ValidValue,,,,SampleType,,,,,
Neutrophil,,,,,False,ValidValue,,,,SampleType,,,,,
Optic Nerve,,,,,False,ValidValue,,,,SampleType,,,,,
Organoids,,,,,False,ValidValue,,,,SampleType,,,,,
Oropharyngeal Swab Specimen,,,,,False,ValidValue,,,,SampleType,,,,,
Osteoblasts,,,,,False,ValidValue,,,,SampleType,,,,,
OtherSampleType,"If ""other"" is selected list the type of sample",,specifySampleType,,False,ValidValue,,Sage Bionetworks,,SampleType,,,,,
PBL,,,,,False,ValidValue,,,,SampleType,,,,,
PBMC,,,,,False,ValidValue,,,,SampleType,,,,,
Pancreas,,,,,False,ValidValue,,,,SampleType,,,,,
Pancreatic Stellate Cells,,,,,False,ValidValue,,,,SampleType,,,,,
Placenta,,,,,False,ValidValue,,,,SampleType,,,,,
Plasma,,,,,False,ValidValue,,,,SampleType,,,,,
Pooled Sample,,,,,False,ValidValue,,,,SampleType,,,,,
Popliteal lymph node,,,,,False,ValidValue,,,,SampleType,,,,,
Positive Control,,,,,False,ValidValue,,,,SampleType,,,,,
Protein,,,,,False,ValidValue,,,,SampleType,,,,,
Rectal Swab Specimen,,,,,False,ValidValue,,,,SampleType,,,,,
Red Blood Cell,,,,,False,ValidValue,,,,SampleType,,,,,
Saliva,,,,,False,ValidValue,,,,SampleType,,,,,
Salivary Glands,,,,,False,ValidValue,,,,SampleType,,,,,
Serum,,,,,False,ValidValue,,,,SampleType,,,,,
Skin of body,,,,,False,ValidValue,,,,SampleType,,,,,
Small intestine,,,,,False,ValidValue,,,,SampleType,,,,,
Spleen,,,,,False,ValidValue,,,,SampleType,,,,,
Sputum,,,,,False,ValidValue,,,,SampleType,,,,,
Stomach,,,,,False,ValidValue,,,,SampleType,,,,,
Synovial fluid,,,,,False,ValidValue,,,,SampleType,,,,,
Synovial tissue,,,,,False,ValidValue,,,,SampleType,,,,,
T cell,,,,,False,ValidValue,,,,SampleType,,,,,
Thymus,,,,,False,ValidValue,,,,SampleType,,,,,
Tonsil,,,,,False,ValidValue,,,,SampleType,,,,,
Trachea,,,,,False,ValidValue,,,,SampleType,,,,,
Tumor Tissue,,,,,False,ValidValue,,,,SampleType,,,,,
Umbilical cord blood,,,,,False,ValidValue,,,,SampleType,,,,,
Urinary bladder,,,,,False,ValidValue,,,,SampleType,,,,,
Urine,,,,,False,ValidValue,,,,SampleType,,,,,
Vagina,,,,,False,ValidValue,,,,SampleType,,,,,
Whole blood,,,,,False,ValidValue,,,,SampleType,,,,,
blood,,,,,False,ValidValue,,,,SampleType,,,,,
brain,,,,,False,ValidValue,,,,SampleType,,,,,
cell line,,,,,False,ValidValue,,,,SampleType,,,,,
portal,Name of the portal the data is hosted in,,,,False,ValidValue,,,,SampleType,,,,,
