,112
Attribute,quantationStrategy
Description,"The general strategy used for differential analysis Example - Absolute quantitation analysis, Isobaric label quantitation analysis, LC-MS label-free quantitation analysis,Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,True
columnType,STRING
Ontology,Sage Bionetworks
Notes,"A data contributor should be able to write in a name OR provide one of these values: Unknown Not collected, Not applicable, Not specified. "
UsedIn,Proteomics
