,104
Attribute,numberContig
Description,"Number of contigs. Total number of contigs in the cleaned/submitted assembly that comprise a given genome, SAG, MAG, or UViG. Example - '40'Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,False
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,INTEGER
Ontology,MIMS (Minimum information about a metagenome sequence.
Notes, https://pubmed.ncbi.nlm.nih.gov/18479204/
UsedIn,Metagenomics
