,143
Attribute,sop
Description,"Relevant standard operating procedures. Standard operating procedures used in the assembly and/or annotation of genomes, metagenomes, or environmental sequences. Example - 'http-//press.igsb.anl.gov/earthmicrobiome/protocols-and-standards/its/)'Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,MIMS (Minimum information about a metagenome sequence.
Notes, https://pubmed.ncbi.nlm.nih.gov/18479204/
UsedIn,Metagenomics
