key,description,valid values,required,requires,multivalue,type,ontology,term id,concept source ontology,note
individualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",n/a (unique to each data contributor),true,Individual,false,string,n/a,n/a,Sage Bionetworks,
cohort,Name of the cohort the individual belongs to,"Centenarian,US Family,Denmark Family,The Osteoporotic Fractures in Men (MrOS) Study,Study of Osteoporotic Fractures (SOF),The Health, Aging, and Body Composition Study (HealthABC),Cardiovascular Health Study (CHS), Other, Unknown, Not collected, Not applicable",true,Individual,true,string,n/a,n/a,Sage Bionetworks,
studyCode,"Unique identifier for the study, assigned by the DCC","LC, LG, ILO, LLFS",true,Individual,true,string,n/a,n/a,Sage Bionetworks,
fieldCenterCode,Name of the field center ,"BU, PT, NY, DK, Other, Unknown, Not collected, Not applicable",true,Individual,false,string,n/a,n/a,Sage Bionetworks,
visitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary","n/a (unique to each data contributor), Other, Unknown, Not collected, Not applicable",true,Individual,false,number,n/a,n/a,Sage Bionetworks,
countryCode,Indicate the geographic region for the individual (shown as ex. "840"),"World Bank country codes (not listed for purposes of this RFC), Other, Unknown, Not collected, Not applicable",true,Individual,false,integer,n/a,n/a,https://wits.worldbank.org/countryprofile/metadata/en/country/all,
consentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary","n/a (unique to each data contributor), Other, Unknown, Not collected, Not applicable",true,Individual,false,string,n/a,n/a,Sage Bionetworks,
speciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,"Human, Rodent, Bird, Mammal, Primate, Other, Unknown Not collected, Not applicable",true,Individual,false,string,"NCI Thesaurus OBO Edition, ","C62690, ","https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C62690https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_1045,",
sex,The biological sex of the individual,"Male, Female, Other, Unknown, Not collected, Not applicable",true,Individual,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",
race,Race of individual,"White, Black or African American, Asian, American Indian or Alaska Native, Native Hawaiian or Other Pacific Islander, Multiracial, Other race, Prefer not to answer, Unknown, Not collected, Not applicable",true,Individual,true,string,"Sage Bionetworks, AMA Manual of Style, 11th edition, NCI Thesaurus",n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249, https://jamanetwork.com/pages/inclusive-language, https://thesaurus.cancer.gov/ncitbrowser/pages/home.jsf?version=23.04d",
ethnicity,Ethnicity of individual,"Not Hispanic or Latino,Hispanic or Latino,Prefer not to answer, Other, Unknown, Not collected, Not applicable",true,Individual,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, https://www.synapse.org/#!Synapse:syn25878249",
ethnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary", n/a (unique to each data contributor),false,"Individual, ethnicity = Hispanic or Latino",true,string,NCI Thesaurus,C93563,https://ncithesaurus.nci.nih.gov/ncitbrowser/pages/concept_details.jsf?dictionary=NCI_Thesaurus&version=23.04d&code=C93563&ns=ncit&type=properties&key=1040179992&b=1&n=0&vse=null,
age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)"," Unknown, Not collected, Not applicable",true,Individual,false,string,Sage Bionetworks,n/a,"Sage Bionetworks, ",
diagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), \"True" indicates the individual has been diagnosed","True, False, Unknown, Not collected, Not applicable",true,Individual,true,string,Sage Bionetworks,n/a,Sage Bionetworks,
diagnosis,Indicate the disease or condition.,"HPO, MONDO, MAXO codes or labels (not listed for purposes of this RFC), Other, Unknown, Not collected, Not applicable",false,"Individual, diagnosisStatus = true",true,string,"HPO, MONDO, MAXO",n/a,"https://www.ebi.ac.uk/ols/ontologies/mondo, https://www.ebi.ac.uk/ols/ontologies/maxo, https://www.ebi.ac.uk/ols/ontologies/hp",
