,20
Attribute,biospecimen_human_template
Description,Template for Biospecimen_human
Valid Values,
DependsOn,"Filename,individualID,specimenID,specimenType,measurementTechnique,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component"
DependsOn Component,
Required,False
Parent,Component
Validation Rules,
Properties,template
Source,Sage Bionetworks
module,template
multivalue,
columnType,
Ontology,Sage Bionetworks
Notes, 
UsedIn,
