Attribute,Type,DUO Shorthand,DUO Term,Description,Valid Values,DependsOn,Properties,Required,Parent,Dependson Component,Validation Rules
Component,string,,,"Category of metadata level (e.g., study level, file level, etc.); provide the same one for all items/rows.","study, file",,,TRUE,,,
studyProjectIdentifier,entity,,,The Synapse Project identifier (synID) with which this Study is related.,,,,TRUE,,,
studyKey,string,,,The short acronym for a project the study is associated with.,"LC, LG, ILO, LLFS, Not Assigned",,,TRUE,,,
studyName,string,,,Name of the study,,,,TRUE,,,
studyDescription,entity,,,"The synID of the wiki that contains the study description. Description of the study, including the types of experimental assays, model systems, types of analysis, description of cohort, associated vulnerable populations, special categories of data, rare diseases, etc. Maps to DUOPlus2.",,,,TRUE,,,
studyFocus,string,,,The focus of the study.,"Longevity, Not Assigned",,,TRUE,,,
studyAbstract,string,,,The short study description/abstract used to describe the study that is visible on the Portal study card.,,,,TRUE,,,
studyMetadata,entity,,,The wiki from the ELITE Portal - backend that describes study metadata; syn27229419/wiki/623142,,,,TRUE,,,
grantNumber,string,,,"Grant number including activity code, institute code, and serial number (e.g. U01MH103392)",,,,TRUE,,,
consortium,string,,,"Name of the consortium (ex., ELITE)","ELITE, ELITE CDCP, Not assigned",,,TRUE,,,
project,string,,,"Short name of the associated project (ex., LLFS)","LC, LG, ILO, ILO BU, ILO TGEN, NECS APOE, LLFS, Not Assigned",,,TRUE,,,
program,string,,,"Name of the program (ex., ELITE)","ELITE, ELITE CDCP, Not assigned",,,TRUE,,,
methods,entity,,,The synID of the wiki that contains the method's description.,,,,TRUE,,,
isModelSystem,boolean,,,Indicates if the study contains model system data.,"True, False, Not assigned",,,TRUE,,,
specimenType,string,,,Type of biological material comprising the specimen.,"blood, Cerebrospinal Fluid (CSF), Not applicable, Not collected, Not specified, organoid, plasma, saliva, serum, sputum, stool, swabs, tissue, Unknown, urine",,,TRUE,,,
dataTypeAll,string,,,Types of input/output data in bioinformatics pipelines,"clinical, drugScreen, electrophysiology, epigenetics, geneExpression, genomeAssembly, genomicVariants, imaging, lipidomics, metabolomics, metagenomics, Not applicable, Not collected, Not specified, Other, phenotype, proteomics, Unknown, wearableData",,,TRUE,,,
metadataType,string,,,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","study, individual, biospecimen, assay, file annotation, supplementary file, Not Assigned",,,TRUE,,,
dataStatus,string,,,Indicates whether a study is pending data release (Not available) or is released (Available).,"Not Available, Available",,,TRUE,,,
dataRestriction,string,,,Indicates restriction level of files/folders.,"Controlled, Registered, Open",,,TRUE,,,
isFeatured,boolean,,,Indicates if the study is a featured study on the ELITE Portal,"true, false",,,TRUE,,,
isReleased,boolean,,,Boolean flag indicating whether a study is surfaced publicly in the ELITE Portal,"true, false",,,TRUE,,,
ackContext,entity,,,The wiki from the ELITE Portal - backend that describes acknowledgment,,,,TRUE,,,
acknowledgment,entity,,,The wiki from the ELITE Portal - backend that describes the specific acknowledgment statement for the particular study,,,,TRUE,,,
relatedStudies,entity,,,The synIDs of related studies,,,,TRUE,,,
dataRelease,string,,,"The news/data release number (ex., 25.4)",,,,TRUE,,,
accessReqs,string,,,The Access Requirement id(s) associated with this object. Provide multiple values as a comma-separated list.,,,AccessRequirement_id,TRUE,,,
dataUseModifiers,string,,,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","IRB, HMB, PUB, USE, NPOA, COL, NCU, NPUNCU, RST, TSM, NRES, NPU, DUM, POA, MOR, GSO, RTN, CC, NMDS, IST, GSR, DSR, GRU, PS, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7, Pending Annotation",,,FALSE,AccessRequirement,,list like
collaborationRequired,string,COL,DUO:0000020,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",,,,FALSE,AccessRequirement,,str
